City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,margaret river,-33.95,115.0667,51.37,89,13,8.41,AU,23/07/22
81,hassi messaoud,31.6804,6.0729,99.72,7,0,10.31,DZ,23/07/22
82,whitby,54.4877,-0.615,62.31,90,100,3.85,GB,23/07/22
83,jamestown,42.097,-79.2353,79.52,46,0,8.05,US,23/07/22
84,tocopilla,-22.092,-70.1979,71.01,67,43,14.29,CL,23/07/22
85,dickinson,29.4608,-95.0513,103.12,59,75,5.75,US,23/07/22
86,korla,41.7597,86.1469,83.95,27,91,3.89,CN,23/07/22
87,tazovsky,67.4667,78.7,56.12,98,69,6.53,RU,23/07/22
88,bandar lampung,-5.4254,105.258,73.81,92,74,2.48,ID,23/07/22
89,tolanaro,-25.0319,46.9987,67.21,90,95,13.29,MG,23/07/22
90,flin flon,54.7682,-101.865,75.87,29,3,9.17,CA,23/07/22
91,fada n'gourma,12.0622,0.3578,78.28,74,37,8.37,BF,23/07/22
92,luderitz,-26.6481,15.1594,54.28,70,97,9.73,NA,23/07/22
93,alesund,62.4723,6.1549,57.0,83,40,11.5,NO,23/07/22
94,rikaze,29.25,88.8833,59.81,49,99,4.0,CN,23/07/22
95,troitsko-pechorsk,62.7084,56.1964,53.35,94,43,4.7,RU,23/07/22
96,whitehorse,60.7161,-135.0538,77.25,43,100,5.41,CA,23/07/22
97,college,64.8569,-147.8028,82.35,39,75,5.75,US,23/07/22
98,nagqu,31.5,92.0,39.78,91,100,4.38,CN,23/07/22
99,kuta,-8.7233,115.1723,77.0,78,40,10.36,ID,23/07/22
100,tura,25.5198,90.2201,75.25,98,100,4.32,IN,23/07/22
101,barrouallie,13.2333,-61.2667,82.02,79,40,5.75,VC,23/07/22
102,sisimiut,66.9395,-53.6735,43.77,96,100,11.1,GL,23/07/22
103,tortoli,39.9256,9.6572,84.18,48,28,4.21,IT,23/07/22
104,murashi,59.3999,48.9615,52.02,95,64,4.76,RU,23/07/22
105,punta arenas,-53.15,-70.9167,31.57,80,18,9.51,CL,23/07/22
106,ribeira grande,38.5167,-28.7,72.77,87,26,5.99,PT,23/07/22
107,el calafate,-50.3408,-72.2768,25.41,82,17,3.8,AR,23/07/22
108,tari,12.4086,4.4914,87.03,55,92,5.23,NG,23/07/22
109,kingston,17.997,-76.7936,91.24,69,20,25.32,JM,23/07/22
110,bilibino,68.0546,166.4372,68.63,56,69,3.18,RU,23/07/22
111,camana,-16.6228,-72.7111,64.62,80,72,9.17,PE,23/07/22
112,vorkuta,67.5,64.0,62.29,91,100,2.44,RU,23/07/22
113,port isabel,26.0734,-97.2086,98.69,65,0,19.57,US,23/07/22
